productid,rate,cmt,username
,5,,Kolkata
,5,,Vadama
,4,,Pushkar
,5,,Vazhayur
,5,,Medak District
,5,,Bengaluru
,5,,Kavisurjyanagar
,3,,Bengaluru
,5,,Mysuru
,4,,Guwahati
,5,,Sanand Gidc
,5,,Khagaria
,5,,Rewari
,5,,Ratnagiri District
,5,,Hyderabad
,5,,Perumbavoor
,5,,Siliguri
,3,,Ahmedabad
,5,,Shahdol
,5,,New Delhi
,5,,Sanand Gidc
,5,,Khagaria
,5,,Rewari
,5,,Ratnagiri District
,5,,Hyderabad
,5,,Perumbavoor
,5,,Siliguri
,3,,Ahmedabad
,5,,Shahdol
,5,,New Delhi
,5,,Hosur
,4,,Kasargod
,4,,Bhojpur District
,5,,Bhubaneswar
,4,,Jatani
,5,,Bhagalpur
,4,,Sisauli
,5,,Ramachandrapuram
,5,,Haridwar
,5,,Chennai
,4,,Uran Islampur
,5,,Agra
,5,,Kolkata
,5,,Belagavi
,5,,Rourkela
,4,,Nagpur
,5,,Cuttack
,5,,Prayagraj
,5,,Thagarapuvalasa
,5,,Surat
,5,,Kollam
,3,,South West Delhi
,3,,Faridabad
,5,,Nabagram Colony
,5,,Chittoor
,4,,Jhargam District
,4,,Kolkata
,3,,Kathua
,3,,Siddipet District
,4,,Pimpri Chinchwad
,5,,Pallipalayam
,4,,Bengaluru
,4,,Chennai
,5,,Mughalsarai
,3,,Paschim Medinipur District
,5,,Bodh Gaya
,5,,Murshidabad
,3,,Anantapur District
,5,,Madhubani District
,5,,Chennai
,4,,Agartala
,4,,Bengaluru
,4,,Chennai
,5,,Mughalsarai
,3,,Paschim Medinipur District
,5,,Bodh Gaya
,5,,Murshidabad
,3,,Anantapur District
,5,,Madhubani District
,5,,Chennai
,4,,Agartala
,5,,Lalitpur District
,4,,Bakhri
,3,,Jangaon
,5,,Mumbai
,4,,Mangaluru
,5,,New Delhi
,5,,Kangeyam
,5,,Surat
,4,,Ghaziabad
,5,,Kharagpur
,5,,Lalitpur District
,4,,Bakhri
,3,,Jangaon
,5,,Mumbai
,4,,Mangaluru
,5,,New Delhi
,5,,Kangeyam
,5,,Surat
,4,,Ghaziabad
,5,,Kharagpur
,5,,Kalyan
,4,,Gundlupete
,5,,Maudaha
,5,,Pimpri Chinchwad
,5,,Rajampet
,5,,Edappal
,5,,Mumbai
,5,,Belgaum District
,5,,Godda
,1,,Pusad
,5,,Lalitpur District
,4,,Bakhri
,3,,Jangaon
,5,,Mumbai
,4,,Mangaluru
,5,,New Delhi
,5,,Kangeyam
,5,,Surat
,4,,Ghaziabad
,5,,Kharagpur
,4,,Howrah
,5,,Bareilly
,5,,Murshidabad
,5,,Jhajjar District
,2,,Sindhnur
,5,,Kozhikode
,4,,East Godavari District
,5,,Anjar
,5,,Bengaluru
,5,,Fatehpur
,5,,Azamgarh
,5,,Baruipur
,5,,Chakia
,5,,Ismailabad
,5,,Chhatrapur
,5,,Daman
,3,,Ekangar Sarai
,4,,Boisar
,5,,Kota
,5,,Coimbatore
,5,,Ghaziabad
,3,,Mysuru
,5,,Veerakkalpudur
,4,,Kolkata
,5,,Radaur
,5,,Mumbai
,5,,Udaipur
,5,,Navi Mumbai
,5,,New Delhi
,5,,New Delhi
,5,,Lucknow
,5,,New Delhi
,4,,Manesar
,4,,Hanumangarh
,5,,Kundapura
,4,,Ranchi
,1,,Gurugram
,4,,Nadia District
,4,,Bangalore Urban
,5,,Bengaluru
,4,,Jaipur
,5,,Mumbai
,5,,Panayam
,4,,Mumbai
,5,,Bhubaneswar
,5,,Katwa
,5,,Deoria
,4,,Bally
,5,,Krishnagiri
,4,,Lucknow
,5,,Udupi District
,3,,Halisahar
,4,,Patna
,5,,Vasco Da Gama
,1,,Bangalore
,3,,Lucknow
,5,,Coimbatore
,5,,Banka District
,5,,Puducherry
,5,,Lalitpur District
,5,,Koratty
,5,,Nirmal
,5,,Hyderabad
,5,,Hugli Chinsurah
,4,,Ghaziabad
,5,,Thiruvananthapuram
,3,,Jammalamadugu
,4,,Howrah
,5,,Bareilly
,5,,Murshidabad
,5,,Jhajjar District
,2,,Sindhnur
,5,,Kozhikode
,4,,East Godavari District
,4,,Gurugram
,4,,Chengamanad
,4,,Ahmadnagar
,5,,Gangapur City
,5,,Prakasam District
,5,,Bokaro Steel City
,5,,New Delhi
,5,,Ludhiana
,4,,Sathyamangalam
,3,,Pune
,5,,Prayagraj
,4,,Daman
,5,,Godda District
,5,,Greater Noida
,5,,Mumbai
,5,,Bangalore
,5,,Kolkata
,5,,Muzaffarpur District
,5,,Burdwan
,5,,Nalbari
,5,,Guntur District
,5,,Pappinisseri
,5,,Kanpur
,3,,Mumbai
,5,,Jaipur
,5,,Raichur District
,5,,Rajkot
,4,,Lucknow
,5,,Sheikhpura District
,5,,Pimpri Chinchwad
,5,,Lunglei District
,5,,Palakkad
,5,,Purnia District
,1,,Bijnore
,4,,Krishna District
,4,,Lucknow
,5,,Rewa
,5,,Jhargam District
,5,,Khurja
,5,,Ghaziabad
,2,,Alappuzha District
,5,,Kendrapara District
,5,,Cuttack
,5,,Berhampur
,4,,Koch Bihar
,4,,Alappuzha
,5,,Chennai
,5,,Kulti
,4,,Imphal
,1,,Pathanamthitta District
,5,,Banka District
,5,,Puducherry
,5,,Lalitpur District
,5,,Koratty
,5,,Nirmal
,5,,Hyderabad
,5,,Hugli Chinsurah
,4,,Ghaziabad
,5,,Thiruvananthapuram
,3,,Jammalamadugu
,5,,Sambalpur
,5,,North Barrackpur
,5,,Rajula
,5,,Kolkata
,4,,Begusarai
,4,,Navi Mumbai
,5,,Akola
,5,,Madanapalle
,5,,Samastipur
,5,,Bengaluru
,3,,Guwahati
,5,,Santrampur
,4,,Gorakhpur
,5,,Nashik
,5,,Prayagraj
,4,,Darbhanga District
,5,,Warangal
,5,,Pune
,5,,Mumbai
,5,,Ranchi
,5,,Mumbai
,4,,Jhansi
,5,,Ernakulam
,5,,Rangia
,5,,Rewari District
,3,,Sambalpur
,5,,Sitamarhi
,5,,Tirupati
,4,,Ludhiana
,5,,Haora District
,4,,Yol
,5,,Ahmedabad
,5,,Manjeri
,5,,Bengaluru
,4,,Surat
,5,,Kunnummal
,5,,Tiruppur
,5,,Maldah District
,5,,Ramanathapuram District
,5,,Chennai
,1,,Kolkata
,1,,Hyderabad
,1,,Bodinayakanur
,5,,Kolkata
,4,,Sangareddy District
,5,,Varanasi
,5,,Birbhum District
,4,,Jamshedpur
,4,,Kolkata
,4,,Chakan
,5,,Sambalpur District
,5,,Nizamabad District
,2,,Sarai Aquil
,4,,Rajpur Sonarpur
,5,,Banka District
,5,,Puducherry
,5,,Lalitpur District
,5,,Koratty
,5,,Nirmal
,5,,Hyderabad
,5,,Hugli Chinsurah
,4,,Ghaziabad
,5,,Thiruvananthapuram
,3,,Jammalamadugu
,4,,Alappuzha
,5,,Thrissur
,5,,Mahindra World City
,1,,Katwa
,1,,Hyderabad
,5,,Rourkela
,5,,Hyderabad
,5,,Tenkasi
,5,,Hyderabad
,5,,Cuttack
,4,,Surat
,5,,Cuddalore
,5,,Tiruppur
,5,,Maldah District
,5,,Ramanathapuram District
,5,,Chennai
,1,,Kolkata
,1,,Hyderabad
,1,,Bodinayakanur
,5,,Kolkata
,4,,Sangareddy District
,5,,Ludhiana
,5,,Jejuri
,4,,Gurugram
,4,,Kothakota
,5,,Mau Aima
,3,,Navsari
,5,,Agra
,5,,Kalyan
,5,,Kanwat
,4,,Boisar
,5,,Kota
,5,,Coimbatore
,5,,Ghaziabad
,3,,Mysuru
,5,,Veerakkalpudur
,4,,Kolkata
,5,,Radaur
,5,,Mumbai
,5,,Udaipur
,5,,Cuddalore
,5,,Ludhiana
,5,,Jejuri
,4,,Gurugram
,4,,Kothakota
,5,,Mau Aima
,3,,Navsari
,5,,Agra
,5,,Kalyan
,5,,Kanwat
,5,,Kolkata
,5,,Bhadrak
,3,,Haridwar
,4,,Sivasagar District
,4,,Mairwa
,5,,Nadia District
,5,,Thanjavur District
,2,,Tuni
,4,,Allahabad District
,5,,Gaya
,5,,Melur
,5,,Mumbai
,5,,Kolkata
,3,,Sarupathar
,5,,Khagaria District
,5,,Ambarnath
,5,,Nizamabad
,4,,Patna
,5,,Satara
,5,,Pathanamthitta
,4,,Chapari
,3,,Hyderabad
,5,,Kolkata
,3,,Sarupathar
,5,,Khagaria District
,5,,Ambarnath
,5,,Nizamabad
,4,,Patna
,5,,Satara
,5,,Pathanamthitta
,4,,Chapari
,3,,Hyderabad
,5,,Kamrup District
,5,,Naduvannur
,3,,Bhagalpur
,4,,Bilaspur
,4,,Vasai Virar
,5,,Kovilpatti
,5,,Pathanamthitta District
,4,,Pune
